epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
10,0.1755037158727646,0.2060825526714325,0.640869140625,0.17432156205177307,0.16240271925926208,0.6846132874488831
11,0.17583955824375153,0.21229979395866394,0.6465135812759399,0.17097604274749756,0.17091378569602966,0.6911906003952026
12,0.16705310344696045,0.21614466607570648,0.6662728190422058,0.17605963349342346,0.15936671197414398,0.6585248112678528
13,0.17029325664043427,0.21723990142345428,0.6532958745956421,0.18031443655490875,0.1616596281528473,0.6455489993095398
14,0.1656913310289383,0.21952584385871887,0.6607667803764343,0.18967163562774658,0.1623738557100296,0.6212737560272217
15,0.1630094349384308,0.21999087929725647,0.6664787530899048,0.17743323743343353,0.17583054304122925,0.6790717244148254
16,0.15621884167194366,0.2291780710220337,0.6823636293411255,0.19095654785633087,0.16303576529026031,0.6305807828903198
17,0.1553683578968048,0.2298007309436798,0.679291844367981,0.18740719556808472,0.16888241469860077,0.6630536913871765
18,0.1543276011943817,0.2305024266242981,0.687195897102356,0.18384206295013428,0.1784554123878479,0.6616551876068115
19,0.1515880674123764,0.23573695123195648,0.6969220042228699,0.19082790613174438,0.1758745163679123,0.6506381034851074
20,0.1509963572025299,0.2346053272485733,0.686164915561676,0.19582243263721466,0.1712835729122162,0.6261881589889526
21,0.14707936346530914,0.24391786754131317,0.7038862109184265,0.18114995956420898,0.19056206941604614,0.6741142272949219
22,0.15063948929309845,0.23469404876232147,0.6865047812461853,0.18658463656902313,0.18361692130565643,0.6721818447113037
23,0.15435045957565308,0.2285746932029724,0.6871721744537354,0.18779143691062927,0.18507248163223267,0.6464596390724182
24,0.15111416578292847,0.23595623672008514,0.692338228225708,0.19824522733688354,0.1763971447944641,0.6283823251724243
25,0.1479911059141159,0.23522108793258667,0.6885960698127747,0.20585933327674866,0.16124027967453003,0.6317467093467712
26,0.15410980582237244,0.22843000292778015,0.6777490973472595,0.19785034656524658,0.17972669005393982,0.6467307209968567
27,0.1556387096643448,0.23446586728096008,0.6831766963005066,0.19877667725086212,0.17955462634563446,0.6467596888542175
28,0.14994822442531586,0.23670729994773865,0.6909511089324951,0.22237442433834076,0.17695027589797974,0.591609537601471
29,0.15200181305408478,0.23419411480426788,0.6812886595726013,0.2135475128889084,0.17823705077171326,0.6193780303001404
30,0.16717247664928436,0.22820663452148438,0.6603325009346008,0.20698034763336182,0.18593351542949677,0.6539793610572815
31,0.16411840915679932,0.226922869682312,0.6618454456329346,0.22001978754997253,0.15224693715572357,0.5951998233795166
0,0.4611626863479614,0.07280868291854858,0.2897394895553589,0.2484188675880432,0.09087904542684555,0.5049687027931213
1,0.26139602065086365,0.1265934854745865,0.46201184391975403,0.2208242267370224,0.13837949931621552,0.5915284156799316
2,0.23439782857894897,0.15475861728191376,0.529421329498291,0.20078806579113007,0.14317622780799866,0.6083686351776123
3,0.21784290671348572,0.16722150146961212,0.5591590404510498,0.18972148001194,0.1517670601606369,0.6317664384841919
4,0.20740558207035065,0.17820042371749878,0.5840967893600464,0.17959508299827576,0.15767820179462433,0.6529917120933533
5,0.19965732097625732,0.18712805211544037,0.6027933955192566,0.17843621969223022,0.15829671919345856,0.6585540771484375
